countyFIPS,County Name,Date,Covid Deaths,PM 2.5 Concentration,Air Quality Index
36001,Albany,2020-01-22,0,11.6,48.5
36003,Allegany,2020-01-22,0,,
36005,Bronx,2020-01-22,0,13.2,53.0
36007,Broome,2020-01-22,0,,
36009,Cattaraugus,2020-01-22,0,,
36011,Cayuga,2020-01-22,0,,
36013,Chautauqua,2020-01-22,0,10.2,43.0
36015,Chemung,2020-01-22,0,,
36017,Chenango,2020-01-22,0,,
36019,Clinton,2020-01-22,0,,
36021,Columbia,2020-01-22,0,,
36023,Cortland,2020-01-22,0,,
36025,Delaware,2020-01-22,0,,
36027,Dutchess,2020-01-22,0,,
36029,Erie,2020-01-22,0,10.8,45.0
36031,Essex,2020-01-22,0,2.0,8.0
36033,Franklin,2020-01-22,0,,
36035,Fulton,2020-01-22,0,,
36037,Genesee,2020-01-22,0,,
36039,Greene,2020-01-22,0,,
36041,Hamilton,2020-01-22,0,,
36043,Herkimer,2020-01-22,0,,
36045,Jefferson,2020-01-22,0,,
36047,Kings,2020-01-22,0,10.3,43.0
36049,Lewis,2020-01-22,0,,
36051,Livingston,2020-01-22,0,,
36053,Madison,2020-01-22,0,,
36055,Monroe,2020-01-22,0,13.35,53.0
36057,Montgomery,2020-01-22,0,,
36059,Nassau,2020-01-22,0,,
36061,New York,2020-01-22,0,10.9,45.0
36063,Niagara,2020-01-22,0,,
36065,Oneida,2020-01-22,0,,
36067,Onondaga,2020-01-22,0,8.35,34.5
36069,Ontario,2020-01-22,0,,
36071,Orange,2020-01-22,0,13.2,53.0
36073,Orleans,2020-01-22,0,,
36075,Oswego,2020-01-22,0,,
36077,Otsego,2020-01-22,0,,
36079,Putnam,2020-01-22,0,,
36081,Queens,2020-01-22,0,12.5,52.0
36083,Rensselaer,2020-01-22,0,,
36085,Richmond,2020-01-22,0,10.6,44.0
36087,Rockland,2020-01-22,0,,
36089,St. Lawrence,2020-01-22,0,,
36091,Saratoga,2020-01-22,0,,
36093,Schenectady,2020-01-22,0,,
36095,Schoharie,2020-01-22,0,,
36097,Schuyler,2020-01-22,0,,
36099,Seneca,2020-01-22,0,,
36101,Steuben,2020-01-22,0,15.5,52.5
36103,Suffolk,2020-01-22,0,13.4,54.0
36105,Sullivan,2020-01-22,0,,
36107,Tioga,2020-01-22,0,,
