countyFIPS,County Name,Date,Covid Deaths,PM 2.5 Concentration,Air Quality Index,New Covid Deaths
36001,Albany,1/22/2020,0,11.6,48.5,0
36003,Allegany,1/22/2020,0,,,0
36005,Bronx,1/22/2020,0,13.2,53,0
36007,Broome,1/22/2020,0,,,0
36009,Cattaraugus,1/22/2020,0,,,0
36011,Cayuga,1/22/2020,0,,,0
36013,Chautauqua,1/22/2020,0,10.2,43,0
36015,Chemung,1/22/2020,0,,,0
36017,Chenango,1/22/2020,0,,,0
36019,Clinton,1/22/2020,0,,,0
36021,Columbia,1/22/2020,0,,,0
36023,Cortland,1/22/2020,0,,,0
36025,Delaware,1/22/2020,0,,,0
36027,Dutchess,1/22/2020,0,,,0
36029,Erie,1/22/2020,0,10.8,45,0
36031,Essex,1/22/2020,0,2,8,0
36033,Franklin,1/22/2020,0,,,0
36035,Fulton,1/22/2020,0,,,0
36037,Genesee,1/22/2020,0,,,0
36039,Greene,1/22/2020,0,,,0
36041,Hamilton,1/22/2020,0,,,0
36043,Herkimer,1/22/2020,0,,,0
36045,Jefferson,1/22/2020,0,,,0
36047,Kings,1/22/2020,0,10.3,43,0
36049,Lewis,1/22/2020,0,,,0
36051,Livingston,1/22/2020,0,,,0
36053,Madison,1/22/2020,0,,,0
36055,Monroe,1/22/2020,0,13.35,53,0
36057,Montgomery,1/22/2020,0,,,0
36059,Nassau,1/22/2020,0,,,0
36061,New York,1/22/2020,0,10.9,45,0
36063,Niagara,1/22/2020,0,,,0
36065,Oneida,1/22/2020,0,,,0
36067,Onondaga,1/22/2020,0,8.35,34.5,0
36069,Ontario,1/22/2020,0,,,0
36071,Orange,1/22/2020,0,13.2,53,0
36073,Orleans,1/22/2020,0,,,0
36075,Oswego,1/22/2020,0,,,0
36077,Otsego,1/22/2020,0,,,0
36079,Putnam,1/22/2020,0,,,0
36081,Queens,1/22/2020,0,12.5,52,0
36083,Rensselaer,1/22/2020,0,,,0
36085,Richmond,1/22/2020,0,10.6,44,0
36087,Rockland,1/22/2020,0,,,0
36089,St. Lawrence,1/22/2020,0,,,0
36091,Saratoga,1/22/2020,0,,,0
36093,Schenectady,1/22/2020,0,,,0
36095,Schoharie,1/22/2020,0,,,0
36097,Schuyler,1/22/2020,0,,,0
36099,Seneca,1/22/2020,0,,,0
36101,Steuben,1/22/2020,0,15.5,52.5,0
36103,Suffolk,1/22/2020,0,13.4,54,0
36105,Sullivan,1/22/2020,0,,,0
36107,Tioga,1/22/2020,0,,,0
36109,Tompkins,1/22/2020,0,,,0
36111,Ulster,1/22/2020,0,,,0
36113,Warren,1/22/2020,0,,,0
36115,Washington,1/22/2020,0,,,0
36117,Wayne,1/22/2020,0,,,0
36119,Westchester,1/22/2020,0,,,0
