FIPS,county_name,population,male_%,female_%,65+age_%,5-17age_%,18-24age_%,white_alone_%,nh_white_alone_%,black_african_amer_alone_%,amer_indian_alask_alone_%,asian_alone_%,2+_races_%,hispanic_%,sq_miles,pop_in_poverty_%,unemployment_rate,median_household_income,hospital_beds,pop_density,hospital_beds_per_1K,2010-2014_avg_daily_aqi,2010-2014_unhealthy_aqi_observed_rate_%,2010-2014_moderate_plus_aqi_observed_rate_%,2015-2019_avg_daily_aqi,2015-2019_unhealthy_aqi_observed_rate_%,2015-2019_moderate_plus_aqi_observed_rate_%,2020_avg_daily_aqi,2020_unhealthy_aqi_observed_rate_%,2020_moderate_plus_aqi_observed_rate_%,total_covid_deaths,covid_deaths_per_capita,improving_2010-14_vs_2015-19_aqi?,improving_2015-19_vs_2020_aqi?,cont_improve_aqi?,aqi_change_2015-19_vs_2020_%
36001,Albany,305506,0.4838464711004039,0.5161535288995961,0.1743730074041099,0.1743730074041099,0.14418702087684038,0.7578836422197928,0.7156815250764306,0.14106433261539872,0.0030441300661852794,0.06836199616374146,0.028984700791473816,0.0625257769078185,523.45,0.11699999999999999,0.036000000000000004,69408,1558.0,583.639316076034,5.0997361753942645,30.521718377088305,0.00047732696897374703,0.16181384248210023,27.7911787665886,0.0,0.10187353629976581,30.384751773049647,0.0070921985815602835,0.11347517730496454,202,0.0006611981434079855,1,0,0,0.0933236056031966
36003,Allegany,46091,0.5080818381028834,0.49191816189711657,0.1964591785815018,0.1964591785815018,0.1450825540778026,0.9556746436397562,0.9428304875138314,0.01440628322232106,0.00318934282180903,0.012518712980842247,0.013798789351500293,0.01700982838298149,1030.22,0.179,0.055,49411,76.0,44.73898778901594,1.6489119350849406,,,,,,,,,,72,0.0015621270963962596,0,0,0,
36005,Bronx,1418207,0.47210879652970267,0.5278912034702974,0.13310186735786808,0.13310186735786808,0.09709513491330955,0.447240776558006,0.09010179755141527,0.43615353753013486,0.029134674980450668,0.04561111318728507,0.03764683152741455,0.563796399256244,42.03,0.262,0.054000000000000006,41470,4289.0,33742.73138234594,3.0242411721279048,37.2203485103991,0.002810567734682406,0.253513209668353,30.152561247216035,0.0,0.15033407572383073,31.761692650334076,0.0,0.11358574610244988,5137,0.003622179272842399,1,0,0,0.0533663256638476
36007,Broome,190488,0.4926557053462685,0.5073442946537314,0.1941329637562471,0.1941329637562471,0.14175696106841376,0.8581800428373441,0.8270022258619966,0.06360505648649784,0.0027245810759732895,0.0442232581579942,0.030589853429087398,0.04449624123304355,706.82,0.17800000000000002,0.047,52179,853.0,269.50001414787357,4.477972365713326,,,,,,,,,,202,0.0010604342530763093,0,0,0,
36009,Cattaraugus,76117,0.49730020888894727,0.5026997911110527,0.19735407333447194,0.19735407333447194,0.09015068907077263,0.9185727235702931,0.9042658013321597,0.014753603005898813,0.03602349015331661,0.008473796917902702,0.021782256263384002,0.021480089861660338,1309.85,0.147,0.051,50783,186.0,58.111234110776046,2.4436065530696163,,,,,,,,,,42,0.0005517821248866876,0,0,0,
36011,Cayuga,76576,0.5130328040117008,0.4869671959882992,0.19835196406184705,0.19835196406184705,0.08087390305056415,0.9209543460091935,0.8987802966987045,0.0444003343083995,0.00484486000835771,0.006816757208524865,0.022252402841621395,0.03135447137484329,693.18,0.138,0.043,58055,99.0,110.47058484087827,1.2928332636857502,,,,,,,,,,20,0.00026117843710823235,0,0,0,
36013,Chautauqua,126903,0.49308526985177653,0.5069147301482234,0.2071267030724254,0.2071267030724254,0.09627825977321261,0.9355097988227229,0.8707122763055247,0.027934721795387026,0.007289031780178561,0.006879269993617172,0.021874975374892636,0.0777286588969528,1062.05,0.163,0.047,50143,399.0,119.48872463631656,3.144133708422969,30.103825136612024,0.0,0.15664845173041894,26.42059336823735,0.0,0.08551483420593368,22.9468085106383,0.0,0.02127659574468085,21,0.00016548072149594572,1,1,1,-0.1314801983885498
36015,Chemung,83456,0.4952070552147239,0.504792944785276,0.19512078220858894,0.19512078220858894,0.0810486963190184,0.8829443059815951,0.8605612538343558,0.0646927722392638,0.0037265145705521474,0.014942005368098159,0.0333229486196319,0.032352377300613494,408.17,0.141,0.042,58400,471.0,204.46382634686526,5.6436924846625764,,,,,,,,,,96,0.0011503067484662577,0,0,0,
36017,Chenango,47207,0.5011333065011545,0.4988666934988455,0.20865549600694813,0.20865549600694813,0.07331539814010635,0.9643908742347533,0.9450081555701485,0.010252716758107908,0.004173109920138963,0.0059101404452729465,0.015103692249030864,0.023026246107568794,894.36,0.13699999999999998,0.044000000000000004,51894,58.0,52.78299566170222,1.2286313470459889,,,,,,,,,,21,0.00044484928082699597,0,0,0,
36019,Clinton,80485,0.5138473007392682,0.4861526992607318,0.17669130893955395,0.17669130893955395,0.12766353979002298,0.9217742436478847,0.8995713486985153,0.04419457041684786,0.004149841585388582,0.014362924768590421,0.015083555942101012,0.029844070323662795,1038.95,0.14800000000000002,0.044000000000000004,59069,300.0,77.46763559362817,3.7274026216065104,,,,,,,,,,8,9.939740324284028e-05,0,0,0,
36021,Columbia,59461,0.5000924976034712,0.4999075023965288,0.2438573182422092,0.2438573182422092,0.06634600830796657,0.9000689527589513,0.8608163333949984,0.053160895376801603,0.0033299137249625803,0.020282201779317537,0.0225694152469686,0.05026824305006643,635.73,0.10099999999999999,0.032,71563,192.0,93.53184528022902,3.229007248448563,,,,,,,,,,60,0.0010090647651401759,0,0,0,
36023,Cortland,47581,0.4894390618103865,0.5105609381896135,0.16886992707173032,0.16886992707173032,0.17954645761963808,0.9448729534898384,0.9229734557911772,0.020869674870221306,0.003635905088165444,0.010592463378239212,0.019650700910027113,0.028456736932809316,499.65,0.17300000000000001,0.049,55143,162.0,95.22866006204343,3.40472037157689,,,,,,,,,,32,0.0006725373573485215,0,0,0,
36025,Delaware,44135,0.5063328424153166,0.4936671575846834,0.25186360031720856,0.25186360031720856,0.0947547298062762,0.9494732072051659,0.9180242437974396,0.021728786677240285,0.0037611872663419056,0.010717117933612779,0.013730599297609607,0.03990030587968732,1446.37,0.126,0.047,51038,67.0,30.514322061436562,1.5180695593066729,,,,,,,,,,10,0.00022657754616517504,0,0,0,
36027,Dutchess,294218,0.4970362112447233,0.5029637887552767,0.18149467401722533,0.18149467401722533,0.10557477788578537,0.8100592077982992,0.7066426935129734,0.12050928223290214,0.004880734693322638,0.037125532768219484,0.026548341705809976,0.1290199783833756,801.59,0.086,0.036000000000000004,84564,926.0,367.0430020334585,3.1473261323236508,,,,,,,,,,232,0.0007885309532387549,0,0,0,
36029,Erie,918702,0.48398174816208084,0.5160182518379192,0.18388443695561782,0.18388443695561782,0.09090869509373006,0.7930319080615913,0.7495335810741677,0.13968403247190056,0.007439844476228418,0.038346493204542934,0.02100245781548315,0.05765634558322503,1044.21,0.133,0.043,60620,3377.0,879.8057861924325,3.6758383023004195,35.9666919000757,0.001514004542013626,0.23542770628311885,29.18324937027708,0.0,0.11712846347607053,26.497237569060772,0.0055248618784530384,0.04696132596685083,1194,0.001299659737325052,1,1,1,-0.09203950413938447
36031,Essex,36885,0.5168225565948218,0.48317744340517826,0.2426189507930053,0.2426189507930053,0.06672088925037278,0.9448014097871763,0.9225159278839636,0.02768062898197099,0.005232479327639962,0.007835163345533415,0.013826758845058967,0.03014775654059916,1796.8,0.124,0.047,55091,40.0,20.528161175422976,1.084451674122272,17.216606498194945,0.0,0.032490974729241874,15.1067615658363,0.0,0.014234875444839857,13.6875,0.0,0.0,16,0.0004337806696489088,1,1,1,-0.09394876325088342
36033,Franklin,50022,0.5505577545879813,0.4494422454120187,0.17442325376834192,0.17442325376834192,0.09441845587941305,0.8406900963576026,0.8171804406061333,0.06427172044300508,0.07588660989164768,0.004817880132741594,0.014073807524689137,0.03620407020910799,1631.49,0.18100000000000002,0.049,48943,173.0,30.660316643068604,3.458478269561393,,,,,,,,,,9,0.0001799208348326736,0,0,0,
36035,Fulton,53383,0.496843564430624,0.5031564355693761,0.20141243467021336,0.20141243467021336,0.07300076803476763,0.951033100425229,0.9220163722533391,0.022441601258827718,0.0030908716257984753,0.007155836127606167,0.015866474345765505,0.03486128542794523,496.17,0.16399999999999998,0.05,50061,74.0,107.59014047604651,1.3862090927823463,,,,,,,,,,36,0.0006743719910833036,0,0,0,
36037,Genesee,57280,0.4982192737430168,0.5017807262569832,0.19291201117318435,0.19291201117318435,0.08058659217877095,0.928840782122905,0.9022346368715084,0.03186103351955307,0.012133379888268157,0.006651536312849162,0.02033868715083799,0.03472416201117318,494.11,0.105,0.039,62570,131.0,115.92560361053206,2.2870111731843576,,,,,,,,,,51,0.0008903631284916201,0,0,0,
36039,Greene,47188,0.5208951428329236,0.47910485716707635,0.22728235992201407,0.22728235992201407,0.08720437399338815,0.8980461134186658,0.8484572348902263,0.0612443841654658,0.004789353225396287,0.013181317284055269,0.02229380350936679,0.06260066118504705,647.75,0.126,0.045,54746,0.0,72.8490930142802,0.0,,,,,,,,,,21,0.0004450283970500975,0,0,0,
36041,Hamilton,4416,0.5,0.5,0.3186141304347826,0.3186141304347826,0.05502717391304348,0.9619565217391305,0.9449728260869565,0.010643115942028986,0.0033967391304347825,0.007699275362318841,0.015398550724637682,0.01970108695652174,1720.39,0.098,0.06,60148,0.0,2.566859839920018,0.0,,,,,,,,,,1,0.00022644927536231884,0,0,0,
36043,Herkimer,61319,0.49563756747500776,0.5043624325249922,0.21228330533766043,0.21228330533766043,0.08077431138798741,0.9602080921084819,0.9423995825111303,0.015182896002870237,0.003359480748218334,0.005854629070924183,0.015101355208010567,0.02305973678631419,1411.25,0.13699999999999998,0.049,55778,25.0,43.450132860938886,0.40770397429834143,,,,,,,,,,24,0.0003913958153264078,0,0,0,
36045,Jefferson,109834,0.5248647959648196,0.47513520403518034,0.1421326729428046,0.1421326729428046,0.12045450406977803,0.8749203343227052,0.8130451408489174,0.06796620354352932,0.006874009869439336,0.01721689094451627,0.029817724930349437,0.07794489866525849,1272.2,0.146,0.055999999999999994,53829,344.0,86.33390976261593,3.1319991987909024,,,,,,,,,,9,8.194183950325036e-05,0,0,0,
36047,Kings,2559903,0.4735312236440209,0.5264687763559791,0.14371013276674938,0.14371013276674938,0.07899518067676783,0.49780050259716874,0.3676967447594694,0.33784092600383686,0.009144096475530519,0.12664112663643895,0.027410413597702726,0.1889442685914271,70.61,0.177,0.040999999999999995,66501,5994.0,36254.114148137654,2.3414949707078745,37.566071428571426,0.0017857142857142857,0.25892857142857145,32.287648054145514,0.0,0.16074450084602368,29.49019607843137,0.0,0.11764705882352941,7731,0.0030200363060631594,1,1,1,-0.08664155317299332
36049,Lewis,26296,0.5072254335260116,0.49277456647398843,0.19014298752662,0.19014298752662,0.07491633708548828,0.972885609978704,0.959385457864314,0.007187404928506237,0.0031944021904472164,0.00399300273805902,0.011484636446607849,0.017607240644965015,1275.42,0.124,0.055,56599,31.0,20.61752207116087,1.1788865226650442,,,,,,,,,,13,0.000494371767569212,0,0,0,
36051,Livingston,62914,0.5024795752932575,0.4975204247067425,0.1833614139937057,0.1833614139937057,0.15106335632768542,0.9350383062593381,0.9049655084718823,0.029548272244651428,0.00460946689131195,0.013669453539752678,0.016609975522141336,0.03895794258829513,632.13,0.138,0.042,60268,67.0,99.52699602929778,1.0649457990272435,,,,,,,,,,24,0.0003814731220396096,0,0,0,
36053,Madison,70941,0.4935932676449444,0.5064067323550556,0.18880478143809645,0.18880478143809645,0.12779633780183533,0.9461101478693562,0.9285603529693689,0.02024217307339902,0.00747099702569741,0.009768681016619445,0.016055595494847832,0.023315149208497202,655.86,0.098,0.045,61713,126.0,108.16485225505443,1.7761238212035353,,,,,,,,,,66,0.0009303505730113757,0,0,0,
36055,Monroe,741770,0.48206182509403184,0.5179381749059682,0.17862005743020073,0.17862005743020073,0.09702603232808013,0.7683432870027097,0.7012079215929466,0.16245062485676154,0.004156274856087466,0.03688340051498443,0.027438424309422057,0.09179125604971891,659.29,0.127,0.042,62159,2183.0,1125.1042788454247,2.942960756029497,30.623803009575923,0.0013679890560875513,0.15595075239398085,26.4789818742769,0.0,0.08792903972232935,26.740549828178693,0.0,0.06357388316151202,563,0.000758995375925152,1,0,0,0.009878323688717565
36057,Montgomery,49221,0.49322443672416244,0.5067755632758375,0.18912659230816115,0.18912659230816115,0.07720281993458077,0.9295016354807907,0.8019747668678003,0.03252676703033258,0.006237175189451657,0.00924402186058796,0.02100729363483066,0.1504235996830621,404.82,0.159,0.051,52092,130.0,121.58737216540685,2.641149103025132,,,,,,,,,,43,0.0008736108571544666,0,0,0,
36059,Nassau,1356924,0.4876772759565016,0.5123227240434984,0.18180089673408387,0.18180089673408387,0.08622295721794293,0.7338811901034988,0.5852936494601024,0.13075824438214667,0.005496254764452541,0.10877617316813616,0.020060077056636923,0.17482556134315555,286.69,0.055999999999999994,0.034,117767,4600.0,4733.070564023858,3.3900203696006557,34.874439461883405,0.0,0.23318385650224216,,,,,,,2390,0.0017613366702925145,0,0,0,
36061,New York,1628706,0.4736754208555749,0.5263245791444251,0.16953397359621689,0.16953397359621689,0.08879625911613269,0.6457420799088356,0.472214752079258,0.17788538876875262,0.011738766849265614,0.12846210427173474,0.03435795042199145,0.25588350506475693,22.96,0.141,0.035,93007,10500.0,70936.6724738676,6.446835708838797,39.58544163337772,0.0013315579227696406,0.2809587217043941,34.66635557629491,0.0004666355576294914,0.18572095193653756,30.696969696969695,0.0,0.08080808080808081,3338,0.002049479771057514,1,1,1,-0.1145025432681914
36063,Niagara,209281,0.4879946101174975,0.5120053898825024,0.19523989277574172,0.19523989277574172,0.08037041107410611,0.875411528041246,0.8494655511011511,0.07429723672956455,0.011525174287202374,0.011362713289787415,0.02687296027828613,0.03330450447006656,522.95,0.124,0.05,56371,623.0,400.1931350989578,2.976858864397628,32.95114006514658,0.0,0.18241042345276873,,,,,,,176,0.0008409745748539046,0,0,0,
36065,Oneida,228671,0.497802519777322,0.502197480222678,0.19173397588675434,0.19173397588675434,0.09340930856995422,0.8596061590669565,0.8134525147482627,0.0712420901644721,0.0035465800210783176,0.041491925080136965,0.023409177377105097,0.061586296469600434,1212.7,0.146,0.043,56516,1213.0,188.5635359116022,5.304564199220715,,,,,,,,,,248,0.0010845275526848617,0,0,0,
36067,Onondaga,460528,0.48222909356217214,0.5177709064378279,0.17533787305006426,0.17533787305006426,0.10167459959003579,0.7996256470833478,0.7646266893652504,0.120109960740715,0.009354480075044297,0.03853837334537748,0.03183519785984783,0.05168415384080881,780.29,0.138,0.039,61597,1932.0,590.2010790859808,4.195184657610395,27.565912117177096,0.0,0.1118508655126498,22.864165588615784,0.0,0.05260888313928418,24.995316159250585,0.0,0.0468384074941452,426,0.0009250251884793107,1,0,0,0.09320919945121091
36069,Ontario,109777,0.4888455687439081,0.511154431256092,0.20606320085263763,0.20606320085263763,0.0885522468276597,0.9349681627298979,0.8949233445985953,0.02757408200260528,0.0037712817803365003,0.01398289259134427,0.019248112081765762,0.051140038441567906,644.38,0.081,0.039,66754,399.0,170.3606567553307,3.63464113612141,,,,,,,,,,62,0.0005647813294223745,0,0,0,
