Date as of,First week,Last week,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
01/06/2021,01/04/2020,01/02/2021,AK,Anchorage Borough,2020,Medium metro,112,2143
01/06/2021,01/04/2020,01/02/2021,AK,Fairbanks North Star Borough,2090,Small metro,22,509
01/06/2021,01/04/2020,01/02/2021,AK,Kenai Peninsula Borough,2122,Noncore,10,358
01/06/2021,01/04/2020,01/02/2021,AK,Matanuska-Susitna Borough,2170,Medium metro,12,591
01/06/2021,01/04/2020,01/02/2021,AL,Autauga County,1001,Medium metro,41,488
01/06/2021,01/04/2020,01/02/2021,AL,Baldwin County,1003,Small metro,113,2208
01/06/2021,01/04/2020,01/02/2021,AL,Barbour County,1005,Noncore,17,273
01/06/2021,01/04/2020,01/02/2021,AL,Bibb County,1007,Large fringe metro,20,187
01/06/2021,01/04/2020,01/02/2021,AL,Blount County,1009,Large fringe metro,22,489
01/06/2021,01/04/2020,01/02/2021,AL,Butler County,1013,Noncore,27,236
01/06/2021,01/04/2020,01/02/2021,AL,Calhoun County,1015,Small metro,149,1578
01/06/2021,01/04/2020,01/02/2021,AL,Chambers County,1017,Micropolitan,11,362
01/06/2021,01/04/2020,01/02/2021,AL,Cherokee County,1019,Noncore,11,289
01/06/2021,01/04/2020,01/02/2021,AL,Chilton County,1021,Large fringe metro,20,397
01/06/2021,01/04/2020,01/02/2021,AL,Choctaw County,1023,Noncore,12,116
01/06/2021,01/04/2020,01/02/2021,AL,Clay County,1027,Noncore,31,192
01/06/2021,01/04/2020,01/02/2021,AL,Coffee County,1031,Micropolitan,26,531
01/06/2021,01/04/2020,01/02/2021,AL,Colbert County,1033,Small metro,81,672
01/06/2021,01/04/2020,01/02/2021,AL,Covington County,1039,Noncore,65,561
01/06/2021,01/04/2020,01/02/2021,AL,Crenshaw County,1041,Noncore,27,194
01/06/2021,01/04/2020,01/02/2021,AL,Cullman County,1043,Micropolitan,95,1113
01/06/2021,01/04/2020,01/02/2021,AL,Dale County,1045,Micropolitan,55,465
01/06/2021,01/04/2020,01/02/2021,AL,Dallas County,1047,Micropolitan,64,488
01/06/2021,01/04/2020,01/02/2021,AL,DeKalb County,1049,Noncore,52,735
01/06/2021,01/04/2020,01/02/2021,AL,Elmore County,1051,Medium metro,38,672
01/06/2021,01/04/2020,01/02/2021,AL,Escambia County,1053,Noncore,24,386
01/06/2021,01/04/2020,01/02/2021,AL,Etowah County,1055,Small metro,195,1668
01/06/2021,01/04/2020,01/02/2021,AL,Franklin County,1059,Noncore,16,318
01/06/2021,01/04/2020,01/02/2021,AL,Geneva County,1061,Small metro,21,325
01/06/2021,01/04/2020,01/02/2021,AL,Houston County,1069,Small metro,334,2050
01/06/2021,01/04/2020,01/02/2021,AL,Jackson County,1071,Micropolitan,32,649
01/06/2021,01/04/2020,01/02/2021,AL,Jefferson County,1073,Large central metro,970,10277
01/06/2021,01/04/2020,01/02/2021,AL,Lauderdale County,1077,Small metro,138,1525
01/06/2021,01/04/2020,01/02/2021,AL,Lee County,1081,Small metro,177,1292
01/06/2021,01/04/2020,01/02/2021,AL,Limestone County,1083,Medium metro,57,846
01/06/2021,01/04/2020,01/02/2021,AL,Madison County,1089,Medium metro,270,4322
01/06/2021,01/04/2020,01/02/2021,AL,Marengo County,1091,Noncore,18,246
01/06/2021,01/04/2020,01/02/2021,AL,Marion County,1093,Noncore,37,398
01/06/2021,01/04/2020,01/02/2021,AL,Marshall County,1095,Micropolitan,109,1253
01/06/2021,01/04/2020,01/02/2021,AL,Mobile County,1097,Medium metro,550,5519
01/06/2021,01/04/2020,01/02/2021,AL,Montgomery County,1101,Medium metro,460,3292
01/06/2021,01/04/2020,01/02/2021,AL,Morgan County,1103,Small metro,122,1437
